9	1	-1102081142469647400960.000000	0.688194
10	0	-360928779310202880.000000	0.399559
11	1	-137874791085157384192.000000	0.431541
12	1	-30859410115626270720.000000	0.362295
13	0	-1985108320565854208.000000	0.397575
14	0	0.500000	0.500000
15	1	-864212128413517873152.000000	0.742833
16	1	-864212128413517873152.000000	0.742833
17	0	-730773356573041360896.000000	0.548978
18	0	-541393168965304320.000000	0.399339
19	1	-484292791526309756928.000000	0.735007
20	0	-16422259492973969408.000000	0.379935
21	1	-831734701175712251904.000000	0.728074
22	1	-312096533873891999744.000000	0.491943
23	1	-864212128413517873152.000000	0.742833
